License No.,Company Name,Dispensing or not?,Schedule of Chm (S1/S2),Company Address,External Packing,Revised Date
CR-2003-01154,WING CHUN YUEN MEDICINE CO.,Yes,S2,"FLAT/RM 314, 3/F, HOMANTIN PLAZA, 80 FAT KWONG STREET, KOWLOON",No,2017-10-06
CR-2003-01160,THE AMALGAMATION PLACE (O/B KOO PO SHAN MARKETING LIMITED),Yes,S1 & S2,"G/F, 216 ABERDEEN MAIN RD, ABERDEEN, HONG KONG",No,2017-10-06
CR-2003-01161,SUN HONG LOONG,No,S2,"FLAT/RM 119, G/F, LAM SHEK HOUSE, PING SHEK ESTATE, KOWLOON",No,2017-10-06
CR-2003-01162,HONG KONG WING TAK HING HONG,No,S2,"FLAT/RM 03-05, 35/F, SINGGA COMMERCIAL CENTRE, NO. 144-151 CONNAUGHT ROAD WEST, HONG KONG",No,2017-10-06
CR-2003-01167,GOOD SHINE MEDICINE COMPANY LIMITED,Yes,S2,"SHOP 16, G/F, YUNG SHING SHOPPING CENTRE, FANLING, N.T.",No,2017-10-06
CR-2003-01168,MAN KWONG MEDICINE CO.,Yes,S2,"D112-D114, DRY FOODS STALL, YUE KWONG RD MARKET, ABERDEEN, HONG KONG",No,2017-10-06
CR-2003-01173,SUN CHUNG WAH MEDICINE CO.,Yes,S1 & S2,"SHOP B1 & B2, G/F, 49 GLEE PATH, PHASE 2, MEI FOO SUN CHUEN, KOWLOON",No,2017-10-06
CR-2003-01174,TIM FAT GROCERY,No,S2,"NO 14, 2/F, TSZ WAN SHAN CENTRE MARKET, KOWLOON",No,2017-10-06
CR-2003-01175,WING FAI MEDICINE COMPANY,No,S2,"RM B, G/F, 37 GARDEN RIVERA, SHA TIN, N.T.",No,2017-10-06
CR-2003-01177,LOK SANG TONG MEDICINE SHOP,Yes,S1 & S2,"G/F, 29 PITT ST, YAU MA TEI, KOWLOON",No,2017-10-06
CR-2003-01179,FOOK SANG CHINESE MEDICINE CO.,No,S2,"G/F, 57 WING ON ST, PING CHAU, N.T.",No,2017-10-06
CR-2003-01180,PO ON TONG,No,S2,"FLAT/RM 130-131, SUN HUI MARKET, TUEN MUN, N.T.",No,2017-10-06
CR-2003-01183,WING CHEONG GINSENG SEAFOOD AND MEDICINE CO.,Yes,S1 & S2,"G/F, 17C BROADWAY, MEI FOO SUN CHUEN STAGE I, KOWLOON",No,2017-10-06
CR-2003-01184,HING WONG MEDICINE CO.,Yes,S1 & S2,"SHOP 7, 2/F, TUNG YICK BUILDING, 8 YU KING SQUARE, YUEN LONG, N.T.",No,2017-10-06
CR-2003-01186,KIM BUN DISPENSARY LIMITED,Yes,S2,"SHOP F, G/F, KIMBERLEY MANSION, 15 AUSTIN AVE, KOWLOON",No,2017-10-06
CR-2003-01188,YUK CHI LAM MEDICINE COMPANY,Yes,S1 & S2,"SHOP 13, 14, G/F, YUET WU VILLA, 2 WU SAU STREET, TUEN MUN, N.T.",No,2017-10-06
CR-2003-01192,WING CHEONG MEDICINE FIRM,Yes,S1 & S2,"SHOP 2, G/F, SOUTHERN LODGE, 360 UN CHAU STREET, SHAM SHUI PO, KOWLOON",No,2017-10-06
CR-2003-01196,LUEN WO MEDICINE CO.,Yes,S1 & S2,"G/F, NO 50A HO PUI STREET, TSUEN WAN, N.T.",No,2017-10-06
CR-2003-01198,TAK CHEONG GINSENGS MEDICINE & MARINE PRODUCT COMPANY,Yes,S2,"SHOP 6, G/F, CHE WAH BUILDING, 18 YUK WAH CRESCENT, TSZ WAN SHAN, KOWLOON",No,2017-10-06
CR-2003-01199,TAI SENG MEDICINAL CO.,Yes,S2,"FLAT/RM A237, EAST ASIA GDN ARCADE, 50 TEXACO RD, TSUEN WAN, N.T.",No,2017-10-06
CR-2003-01201,HING SHING DISPENSARY,Yes,S1 & S2,"FLAT S119, CHUK YUEN SHOPPING CTR, CHUK YUEN SOUTH EST, WONG TAI SIN, KOWLOON",No,2017-10-06
CR-2003-01203,HONG KONG CHUN WAH CHINESE MEDICINE CLINIC (O/B HONG KONG CHUN WAH (GROUP) COMPANY LIMITED),Yes,S1 & S2,"6/F, SHUM TOWER, 268 DES VOEUX ROAD CENTRAL, SHEUNG WAN, HK",No,2017-10-06
CR-2003-01206,TIN ON MEDICINE CO.,Yes,S2,"DD187 LOT 642, G/F, 94, HIN TIN VILLAGE, SHA TIN, N.T.",No,2017-10-06
CR-2003-01209,KUT CHEUNG TONG MEDICINE CO.,Yes,S2,"FLAT 20, G/F, WUN FAT BLDG, 8 WANG FAT PATH, YUEN LONG, N.T.",No,2017-10-06
CR-2003-01210,KONG LEE MEDICINE CO.,Yes,S2,"NO 6, LG/F, BLK C, PO SING CTR, 1-25 TA CHUEN PING ST, KWAI CHUNG, N.T.",No,2017-10-06
CR-2003-01211,HANG LEE DISPENSARY,Yes,S1 & S2,"SHOP 232-233, SECOND FLOOR, SAND MARTIN HOUSE, SHA KOK ESTATE, 5 SHA KOK ST, SHA TIN, N.T.",No,2017-10-06
CR-2003-01223,GREAT CHINA MEDICINE CO.,Yes,S1 & S2,"FLAT/RM 128, G/F, BLK 19, SHEK KIP MEI EST, SHAM SHUI PO, KOWLOON",No,2017-10-06
CR-2003-01228,CHUNG MEI COMPANY,No,S2,"G/F, 179 QUEEN'S ROAD WEST, SAI YING PUN, HONG KONG",No,2017-10-06
CR-2003-01230,HONG NING MEDICINE CO.,Yes,S1 & S2,"SHOP 308, G/F, LOK HIN TERRACE, 350 CHAI WAN RD, CHAI WAN, HONG KONG",No,2017-10-06
CR-2003-01232,HONG NING MEDICAL CO.,Yes,S1 & S2,"G/F, NO. 13, PHASE 2, HEALTHY VILLAGE ESTATE, 668 KING'S RD, NORTH POINT, HONG KONG",No,2017-10-06
CR-2003-01234,CHINA MEDICINE COMPANY,Yes,S1 & S2,"SHOP NOS 16 & 17, G/F, FULLVIEW GARDEN, 18 SIU SAI WAN RD, CHAI WAN, HONG KONG",No,2017-10-06
CR-2003-01235,CHUN HOI TONG,Yes,S2,"RM 1216, 12/F, WORLD-WIDE IND'L CTR, 43-47 SHAN MEI ST., FO TAN, SHA TIN, N.T.",No,2017-10-06
CR-2003-01236,HING WAH HERB CO.,No,S2,"SHOP 57, G/F, WAH LOK MANSION, 2 TSING SHAN SQUARE, TUEN MUN, N.T.",No,2017-10-06
CR-2003-01238,TAI WOO PING GINSENG & SEA PRODUCTS CO.,Yes,S1 & S2,"G/F, 166 SHANGHAI STREET, YAU MA TEI, KOWLOON",No,2017-10-06
CR-2003-01239,YING HING LOONG PRESERVED SEA-FOOD,No,S2,"G/F, 7 WOO SUNG ST, KOWLOON",No,2017-10-06
CR-2003-01240,YEE HOP GROCERIES,No,S2,"FLAT/RM C, G/F, 425 KING'S RD, NORTH POINT, HONG KONG",No,2017-10-06
CR-2003-01241,TIN SUN MEDICINE,Yes,S1 & S2,"FLAT/RM 31, G/F, CHEONG WAI MANS, 39A KWONG FAI CIRCUIT, KWAI CHUNG, N.T.",No,2017-10-06
CR-2003-01246,TAI SING BIRD'S NEST & GINSENG CO.,No,S2,"G/F, NO 56 BONHAM STRAND E, HONG KONG",No,2017-10-06
CR-2003-01248,TSING YI MEDICINE COMPANY,Yes,S1 & S2,"STALL 35, TSING YI COMPLEX, 38 TSING LUK STREET, TSING YI TOWN CTR, TSING YI, N.T.",No,2017-10-06
CR-2003-01249,TUNG TAI MEDICINE COMPANY,Yes,S2,"FLAT/RM A, G/F, 144 MAIN STREET EAST, SHAU KEI WAN, HONG KONG",No,2017-10-06
CR-2003-01250,"HIP TAK WING GINSENG CO., LIMITED",Yes,S1 & S2,"SHOP C1-C3, G/F, KAMCOURT BLDG, 60 BONHAM STRAND EAST, SHEUNG WAN, HONG KONG",No,2017-10-06
CR-2003-01260,HING LUNG GINSENG & MARINE PRODUCTS,Yes,S1 & S2,"SHOP 12, G/F, PROSPER CTR, SAU FU ST, YUEN LONG, N.T.",No,2017-10-06
CR-2003-01264,SUN SHUI WAH GROUP HERBS & DRIED SEAFOOD,Yes,S1 & S2,"G/F, 14 FU SHIN STREET, TAI PO MARKET, TAI PO, N.T.",No,2017-10-06
CR-2003-01265,NAM WAH CHINESE MEDICINE CO.,Yes,S2,"G/F, HING CHEONG BLDG, 21 SHAU KEI WAN RD, HONG KONG",No,2017-10-06
CR-2003-01266,NAM WAH MEDICINE CO.,Yes,S1 & S2,"RM NO 7, G/F, MING FAI BLDG, 20-36 WHARF RD, NORTH POINT, HONG KONG",No,2017-10-06
CR-2003-01267,CHUNG SHUN MEDICINE CO.,Yes,S1 & S2,"G/F, 12 GAGE ST, CENTRAL, HONG KONG",No,2017-10-06
CR-2003-01268,KONG FUNG MEDICINE COMPANY LIMITED,No,S2,"FLAT/RM 2011, 20/F, HONG KONG PLAZA, NO. 186-191 CONNAUGHT ROAD WEST, HONG KONG",No,2017-10-06
CR-2003-01271,WAH KEUNG HONG GINSENG CO.,Yes,S1 & S2,"SHOP 32-A, G/F, LAGUNA PLAZA, LAGUNA CITY, 88 CHA KWO LING ROAD, KWUN TONG, KOWLOON",No,2017-10-06
CR-2003-01273,FONG KEE,No,S2,"G/F, 35 KOWLOON CITY RD, TO KWA WAN, KOWLOON",No,2017-10-06
CR-2003-01276,HANG NAM MEDICINE CO.,Yes,S1 & S2,"G/F, ON CHEUNG HOUSE, 36 TING FU ST, NGAU TAU KOK, KOWLOON",No,2017-10-06
CR-2003-01282,CHAK SHING MEDICINE COMPANY,Yes,S2,"FLAT/RM 22, G/F, SAI KUNG MANSION, 42-56 FUK MAN ROAD, SAI KUNG, N.T.",No,2017-10-06
CR-2003-01285,FUNG YING SEEN KOON,Yes,S2,"66 PAK WO ROAD, FANLING, N.T.",No,2017-10-06
CR-2003-01290,MAN WAH MEDICINE CO.,Yes,S1 & S2,"G/F, 11 LIBERTY AVENUE, HO MAN TIN, KOWLOON",No,2017-10-06
CR-2003-01296,WING WAH DISPENSARY (O/B WING WAH GROUP DISPENSARY LIMITED),Yes,S1 & S2,"SHOP NO. 201B, 2/F, SHEUNG TAK PLAZA, SHEUNG TAK EST, 2 TONG MING STREET, TSEUNG KWAN O, N.T.",No,2017-10-06
CR-2003-01301,FOOK HING HONG,Yes,S2,"G/F, 993 CANTON ROAD, KOWLOON",No,2017-10-06
CR-2003-01312,LI KA YUEN MEDICINE & CHINESE HERBALS,Yes,S1 & S2,"SHOP NO M3, PODIUM, KANG PING HOUSE, LONG PING ESTATE, YUEN LONG, N.T.",No,2017-10-06
CR-2003-01315,TAI SANG MEDICINE CO.,Yes,S2,"G/F, 205D FA YUEN ST, MONG KOK, KOWLOON",No,2017-10-06
CR-2003-01316,MAN CHEONG MEDICINE CO.,Yes,S2,"SHOP 34, G/F, KWAN YICK BUILDING PHASE 3, 273 DES VOEUX ROAD WEST, HONG KONG",No,2017-10-06
CR-2003-01317,TAI SUN GINSENG HONG,Yes,S2,"SHOP NO S-103, ZONE S, H.A.N.D.S, YAU OI EST, 4 OI YUNG STREET, TUEN MUN, N.T.",No,2017-10-06
CR-2003-01321,NAM WAH MEDICINE CO.,No,S2,"G/F, SHOP 18A2B, CHEVALIER GARDEN ARCADE, MA ON SHAN, N.T.",No,2017-10-06
CR-2003-01323,KAI CHEONG MEDICINE,Yes,S2,"G/F, 89C, SHING MUN SAN TSUEN, KAM TIN, N.T.",No,2017-10-06
CR-2003-01325,TAK TAI GINSENG FIRM LIMITED,No,S2,"G/F & M/F, 201-203 WING LOK ST WEST, HONG KONG",No,2017-10-06
CR-2003-01326,HUNG KWONG MEDICINE CO.,Yes,S2,"G/F, 41A WHAMPOA STREET, HUNG HOM, KOWLOON",No,2017-10-06
CR-2003-01329,SUNRISE GINSENG CO.,Yes,S2,"FLAT/RM 16, 3/F, LUCKY PLAZA, 1-15 WANG POK STREET, SHA TIN, NT",No,2017-10-06
CR-2003-01331,CHI HING,No,S2,"G/F, HOLLYWOOD CTR, 91 QUEEN'S RD WEST, SHEUNG WAN, HONG KONG",No,2017-10-06
CR-2003-01332,XING SU XUAN,Yes,S2,"FLAT/RM B13, 1/F, KWAI CHUNG CENTRE, 100 KWAI HING ROAD, KWAI CHUNG, N.T.",No,2017-10-06
CR-2003-01335,WUI CHUN YUEN MEDICINE CO.,Yes,S2,"FLAT/RM 122, G/F, LOK SEEN LAU, LOK MAN SUN CHUEN, KAU PUI LUNG ROAD, TO KWA WAN, KOWLOON",No,2017-10-06
CR-2003-01337,WING SHING HONG,Yes,S2,"STALL 1-MN70-71, TIN WAN MARKET, 11 HING WO ST, HONG KONG",No,2017-10-06
CR-2003-01339,CHEONG KEE MEDICINE CO.,Yes,S2,"G/F, TAK CHEONG BUILDING, 26A YEN CHOW STREET, KOWLOON",No,2017-10-06
CR-2003-01344,CHUNG KWOK MEDICINE CO.,Yes,S1 & S2,"G/F, 7 YEE ON STREET, KWUN TONG, KOWLOON",No,2017-10-06
CR-2003-01345,KIG-WONDERLAND MEDICINE COMPANY LIMITED,Yes,S2,"FLAT/RM 119, TIN PING SHOP'G CTR, TIN PING EST, SHEUNG SHUI, N.T.",No,2017-10-06
CR-2003-01347,TIN SHUI DISPENSARY,Yes,S1 & S2,"SHOP 106, 1/F, TIN SHUI SHOPPING CENTRE, TIN SHUI WAN, YUEN LONG, N.T.",No,2017-10-06
CR-2003-01348,KIN SANG HERBALIST CO.,No,S2,"SHOP A2, TUNG FAT BUILDING, 9 PING WUI STREET, YUEN LONG, N.T.",No,2017-10-06
CR-2003-01354,LAM SIU MING,Yes,S1 & S2,"MKT STALL 12A, G/F, SHUN TIN ESTATE MARKET STALL, SHUN TIN ESTATE, KOWLOON",No,2017-10-06
CR-2003-01355,HERBAL CRESCENT CHINESE MEDICAL CLINIC,Yes,S1 & S2,"BLK G, G/F, KAM WAH BLDG, 18-32 CHAN MAN ST, SAI KUNG, N.T.",No,2017-10-06
CR-2003-01358,WING SHUN LEE CO.,No,S2,"LG/F, 167 QUEEN'S RD WEST, SHEUNG WAN, HONG KONG",No,2017-10-06
CR-2003-01364,TAI SIN MEDICINE,Yes,S2,"M/F, HANG ON BUILDING, 55 PO KONG VILLAGE ROAD, TSZ WAN SHAN, KOWLOON",No,2017-10-06
CR-2003-01367,HIP HING CO.,No,S2,"FLAT/RM 116, G/F, BLK 8, CHI LOK FA YUEN, TUEN MUN, N.T.",No,2017-10-06
CR-2003-01377,CHUNG KIU MEDICINE CO.,Yes,S1 & S2,"161 PEI HO ST, KOWLOON",No,2017-10-06
CR-2003-01383,YUEN HING HO,No,S2,"FLAT 1C, G/F, ELITE'S PLACE, 68-82 KO SHING STREET, SHEUNG WAN, HONG KONG",No,2017-10-06
CR-2003-01385,LEE CHING DRY SEAFOOD SHOP,No,S2,"FLAT/RM S102-4, 1/F, HUNG HOM URBAN COUNCIL COMPLEX, 11 MA TAU WAI ROAD, HUNG HOM, KOWLOON",No,2017-10-06
CR-2003-01391,TAK HING LUNG MEDICINE CO.,Yes,S1 & S2,"G/F, REAR PORTION, 50 BATTERY ST, YAU MA TEI, KOWLOON",No,2017-10-06
CR-2003-01393,WING FUK MEDICINE,Yes,S1 & S2,"SHOP 11B, G/F, TAK LEE BUILDING, 993 KING'S ROAD, HONG KONG",No,2017-10-06
CR-2003-01394,SHING KEE,No,S2,"2059, 2/F, YEUNG UK RD MKT, TSUEN WAN, N.T.",No,2017-10-06
CR-2003-01400,CHIU FAT HING,No,S2,"STALL 52, HIN KENG ESTATE MARKET, SHA TIN, N.T.",No,2017-10-06
CR-2003-01401,WAI YUEN TONG (O/B WAI YUEN TONG (RETAIL) LIMITED),Yes,S2,"G/F, 356 SHANGHAI STREET, KOWLOON",No,2017-10-06
CR-2003-01404,TICK SHING HONG GINSENG PRODUCTS & MEDICINE CO. (O/B TICK SHING HONG INDUSTRIAL COMPANY LIMITED),Yes,S1 & S2,"FLAT W12, 2/F, BLOCK 2, KWUN TONG INDUSTRIAL CENTRE, 460-470 KWUN TONG ROAD, KOWLOON",No,2017-10-06
CR-2003-01409,DAI LEE HONG,No,S2,"G/F, 20 SUTHERLAND STREET, HONG KONG",No,2017-10-06
CR-2003-01410,TUNG TAI GINSENG COMPANY,Yes,S2,"G/F, 291 KING'S ROAD, NORTH POINT, HONG KONG",No,2017-10-06
CR-2003-01412,WAI YUEN TONG (O/B WAI YUEN TONG (RETAIL) LIMITED),Yes,S2,"SHOP B, G/F, 23-33 SHUI WO STREET, KWUN TONG, KOWLOON",No,2017-10-06
CR-2003-01414,LEE HONG DISPENSARY SUPERSTORE COMPANY LIMITED,Yes,S2,"SHOP 321, 3/F, MARITIME SQUARE, 33 TSING KING RD, TSING YI, N.T.",No,2017-10-06
CR-2003-01415,WING CHUN YUEN,Yes,S1 & S2,"B209-211, HONG SHUN HOUSE, PHASE 2, CHEUNG HONG EST, TSING YI, N.T.",No,2017-10-06
CR-2003-01416,WAI YUEN TONG (O/B WAI YUEN TONG (RETAIL) LIMITED),Yes,S2,"FLAT/RM 40, 3/F, SOUTH WING, TREND PLAZA, TUEN MUN, N.T.",No,2017-10-06
CR-2003-01419,PUI YUEN TONG MEDICINE LIMITED,Yes,S1 & S2,"RM 123, G/F, BLK 20, SHEK KIP MEI COMM COMPLEX, NAM CHEONG ST, SHEK KIP MEI, KOWLOON",No,2017-10-06
CR-2003-01427,TIN SANG YAN KEE MED. CO.,No,S2,"SHOP 188, G/F, YUE WAN MARKET, CHAI WAN, HONG KONG",No,2017-10-06
CR-2003-01428,WAI YUEN TONG (O/B WAI YUEN TONG (RETAIL) LIMITED),Yes,S2,"SHOP B, G/F & M/F, YAN OI HOUSE, NO.237 SHA TSUI RD, NOS.87 & 89 CHUEN LUNG STREET, TSUEN WAN, N.T.",No,2017-10-06
CR-2003-01430,KWONG WING DRUG CO.,Yes,S1 & S2,"FLAT/RM 36, G/F, KAM HON HOUSE, CHOI HUNG EST, KOWLOON",No,2017-10-06
CR-2003-01432,YAU CHAN HO,No,S2,"G/F, NO 4 EASTERN STREET, SAI YING PUN, HONG KONG",No,2017-10-06
CR-2003-01433,SAU NAM MEDICINE COMPANY,Yes,S1 & S2,"G/F, 121 DOCK STREET, WHAMPOA SUN CHUEN, KOWLOON",No,2017-10-06
CR-2003-01434,CHU SHING MEDICINE CO.,Yes,S1 & S2,"G/F, 9 CANAL RD WEST, WAN CHAI, HONG KONG",No,2017-10-06
CR-2003-01441,CHU KONG GINSENG SWALLOW NEST CO.,Yes,S1 & S2,"G/F, 2A BOWRINGTON RD, WAN CHAI, HONG KONG",No,2017-10-06
CR-2003-01443,SHING CHO TONG,Yes,S1 & S2,"SHOP 107, LUNG MUN OASIS, 43 LUNG MUN RD, TUEN MUN, N.T.",No,2017-10-06
CR-2003-01447,CHAN YIN KEE,No,S2,"1/F, 86 KO SHING ST, HONG KONG",No,2017-10-06
CR-2003-01449,WING LEE,Yes,S2,"FLAT/RM A40, G/F, GOODRICH GDN ARC, 9 LEUNG TAK ST, TUEN MUN, N.T.",No,2017-10-06
CR-2003-01450,HING LUNG SWALLOW NESTS CO.,No,S2,"SHOP 44 C-D, KWAN YICK BLDG PHASE II, 343 DES VOEUX ROAD WEST, HONG KONG",No,2017-10-06
CR-2003-01451,EAST OCEAN PHARMACY LIMITED,Yes,S1 & S2,"SHOP NO. 133, KWAI SHING EAST SHOPPING CENTRE, KWAI CHUNG, N.T.",No,2017-10-06
CR-2003-01454,SHUN NING TONG,No,S2,"G/F, 16 KAM WA ST, HK",No,2017-10-06
CR-2003-01457,GOOD SPRING COMPANY LIMITED,Yes,S1 & S2,"G/F, M/F & 1/F, 8 COCHRANE STREET, CENTRAL, HONG KONG",No,2017-10-06
CR-2003-01458,KAM LUNG CHINESE MEDICINE CO.,No,S2,"FLAT/RM 204, HA LUNG BLD, 25-29 KO SHING ST, HONG KONG",No,2017-10-06
CR-2003-01459,MEI LAM MEDICINE CO.,Yes,S2,"NO.75, G/F, MEI LAM MARKET, 30 MEI TIN ROAD, TAI WAI, N.T.",No,2017-10-06
CR-2003-01465,PEARL RIVER HERBAL,Yes,S1 & S2,"SHOP 5, G/F, WING NING BLDG, 501 SHUN NING RD, SHAM SHUI PO, KOWLOON",No,2017-10-06
CR-2003-01467,TUNG TAK TONG CHINESE MEDICAL HEALTH CENTRE,Yes,S1 & S2,"FLAT/RM B & C, 12/F, BLK 1, CAMELPAINT BUILDING, 62 HOI YUEN ROAD, KWUN TONG, KOWLOON",No,2017-10-06
CR-2003-01468,TAI YIN HING CHINESE HERBS,Yes,S1 & S2,"G/F, 41 QUEEN'S RD WEST, SHEUNG WAN, HONG KONG",No,2017-10-06
CR-2003-01472,VICEROY PHARMACEUTICAL (HONG KONG) LIMITED,Yes,S1 & S2,"FLAT/RM 502-3, 5/F, FOO YIK COMM BLDG, 2 SAN ON ST, TUEN MUN, N.T.",No,2017-10-06
CR-2003-01474,LING NAM MEDICINE FACTORY (H.K.) LIMITED,No,S2,"G/F, 467 SHANGHAI STREET, MONG KOK, KOWLOON",No,2017-10-06
CR-2003-01475,CHINESE HERBAL MEDICAL INSTITUTE (O/B CHINESE HERBAL MEDICAL INSTITUTE LIMITED),No,S2,"FLAT/RM 201, UNIVERSAL COMM BLDG, 69 PEKING RD, TSIM SHA TSUI, KOWLOON",No,2017-10-06
CR-2003-01478,HOM HING,No,S2,"MKTSTALL S99, 1/F, HUNG HOM URBAN COUNCIL COMPLEX, 11 MA TAU WAI ROAD, HUNG HOM, KOWLOON",No,2017-10-06
CR-2003-01481,PAK LEUNG TONG LIMITED,Yes,S2,"FLAT/RM B14, 1/F, WELL ON GARDEN SHOPPING ARCADE, 9 YUK NGA LANE, N.T.",No,2017-10-06
CR-2003-01482,KWONG TAK MEDICINE CO.,Yes,S1 & S2,"G/F, NO 5, KWONG TIN ARCADE, LAM TIN, KOWLOON",No,2017-10-06
CR-2003-01483,TANG PO SANG HERBALIST BONESETTER,No,S2,"G/F, 255 KI LUNG ST, SHAM SHUI PO, KOWLOON",No,2017-10-06
CR-2003-01485,MAN PO HERB SHOP,Yes,S1 & S2,"SHOP NO 154, 1/F, 2 TSING HOI CIRCUIT, TUEN MUN, N.T.",No,2017-10-06
CR-2003-01492,HONG CHAI TONG TRADITIONAL CHINESE MEDICINE CO.,No,S2,"1002, 280 PORTLAND ST COMM BLDG, 280 PORTLAND ST, MONG KOK, KOWLOON",No,2017-10-06
CR-2003-01494,HON WAH MEDICINE CO.,Yes,S1 & S2,"FLAT/RM 228, 2/F, SHEK LEI SHOPPING CENTRE PH 2, SHEK LEI, KWAI CHUNG, N.T.",No,2017-10-06
CR-2003-01495,SAM KONG TRADING CO.,No,S2,"BLK J, G/F, KO SHING BLDG, 48-66 KO SHING ST, HONG KONG",No,2017-10-06
CR-2003-01499,FINMARK GINSENG HONG,No,S2,"SHOP 1, G/F, KAM YUE MANSION, 8 KOM U ST, SHEUNG WAN, HONG KONG",No,2017-10-06
CR-2003-01500,KWONG ON TONG MEDICINE CO.,Yes,S1 & S2,"RM 529-530, CHI FU LANDMARK, HONG KONG",No,2017-10-06
CR-2003-01504,QIN YUANG SU HERBALIST,Yes,S2,"SHOP 3A, G/F, 856-858 CANTON ROAD, MONG KOK, KOWLOON",No,2017-10-06
CR-2003-01507,YAN YAN MEDICINE CO.,Yes,S1 & S2,"G/F, 1B KA SHIN ST, TAI KOK TSUI, KOWLOON",No,2017-10-06
CR-2003-01508,YAU LEE DRY SEAFOOD,No,S2,"SHOP C, G/F, 52 RECLAMATION STREET, YAU MA TEI, KOWLOON",No,2017-10-06
CR-2003-01509,CHU KEE,No,S2,"34-35, 1/F, ABERDEEN MKT BLDG, HONG KONG",No,2017-10-06
CR-2003-01511,MAN SANG TONG GINSENG & MEDICINE CO.,Yes,S2,"G/F, 5 SUN LAU ST, SHA TAU KOK, N.T.",No,2017-10-06
CR-2003-01514,CHEUNG YICK MEDICINE CO.,No,S2,"NO 66, 1/F, ELDO COURT SHOPPING CENTRE, 112-140 TUEN MUN HEUNG SZE WUI RD, N.T.",No,2017-10-06
CR-2003-01518,CHUNG KONG BIRDSNEST & GINENGANTLEPS CO.,No,S2,"G/F, NO 96 PEI HO ST, SHAM SHUI PO, KOWLOON",No,2017-10-06
CR-2003-01519,HOI HING HERBAL CO.,Yes,S2,"FLAT/RM 1510, PAKPOLEE C/CTR, 1A SAI YEUNG CHOI ST SOUTH, KOWLOON",No,2017-10-06
CR-2003-01520,SANG HING MED CO.,No,S2,"SHOP NO 1, YUE WAN MKT, CHAI WAN, HONG KONG",No,2017-10-06
CR-2003-01521,TAI TSUEN TONG,Yes,S1 & S2,"SHOP F, G/F, COMFORT MANSION, 888 CANTON ROAD, YAU MA TEI, KOWLOON",No,2017-10-06
CR-2003-01523,WUI SANG TONG,Yes,S1 & S2,"FLAT/RM 109, G/F, BLK 20, SHEK KIP MEI EST, SHAM SHUI PO, KOWLOON",No,2017-10-06
CR-2003-01526,LEE HOONG KEE LIMITED,Yes,S1 & S2,"G/F, 17 QUEEN'S ROAD WEST, HONG KONG",No,2017-10-06
CR-2003-01532,BEIJING TONG REN TANG (O/B BEIJING TONG REN TANG HONG KONG MEDICINE MANAGEMENT LIMITED),Yes,S1 & S2,"G/F, 6 CAMERON ROAD, TSIM SHA TSUI, KOWLOON",No,2017-10-06
CR-2003-01534,PING ON,Yes,S2,"SHOP 28-56, 2/F, JADE PLAZA, ON CHEE ROAD, TAI PO, N.T.",No,2017-10-06
CR-2003-01536,WING WAH DISPENSARY (O/B WING WAH DISPENSARY (SHEK YAM) LIMITED),Yes,S1 & S2,"RM 106-107, 1/F, LEI YUE MUN PLAZA, YAU TONG, KOWLOON",No,2017-10-06
CR-2003-01537,HANG ON MEDICINE CO.,Yes,S1 & S2,"SHOP 71-72, UG, SHOPPING ARCADE FOK ON GARDEN, MA ON SHAN, N.T.",No,2017-10-06
CR-2003-01538,DR YAU KA TAO CLINIC,Yes,S2,"FLAT/RM 104A, KAM LING COURT COMM CTR, 532 QUEEN'S RD W, WESTERN, HONG KONG",No,2017-10-06
CR-2003-01540,HUNG FAT MEDICINE CO.,Yes,S1 & S2,"FLAT/RM 121, KWAI CHUNG SHOPPING CENTRE, SHEUNG KOK STREET, KWAI CHUNG, N.T.",No,2017-10-06
CR-2003-01542,SIU KONG TRADING COMPANY,Yes,S2,"G/F, M/F & BASEMENT, 149 QUEEN'S ROAD WEST, HONG KONG",No,2017-10-06
CR-2003-01546,CHUNG KONG HONG LIMITED,No,S2,"FLAT E, 7/F, GOLDEN SUN CTR, 59-67 BONHAM STRAND WEST, SHEUNG WAN, HONG KONG",No,2017-10-06
CR-2003-01550,"WING LING MEDICINE COMPANY (O/B GOODEVER INVESTMENT CO., LIMITED)",Yes,S1 & S2,"SHOP 108, G/F, RHYTHM GARDEN, 242 CHOI HUNG ROAD, SAN PO KONG, KOWLOON",No,2017-10-06
CR-2003-01554,BEIJING TONG REN TANG (O/B BEIJING TONG REN TANG HONG KONG MEDICINE MANAGEMENT LIMITED),Yes,S2,"SHOP 4, G/F, YING KONG MANSION, 2-6 YEE WO STREET, CAUSEWAY BAY, HONG KONG",No,2017-10-06
CR-2003-01556,YU HUEN TONG,Yes,S2,"G/F, SHOP 17C, TSUN FU ST, SHEUNG SHUI, N.T.",No,2017-10-06
CR-2003-01558,CHUNG WO CHEONG,Yes,S1 & S2,"G/F, ON LEE BLDG, 102 ON NING RD, YUEN LONG, N.T.",No,2017-10-06
CR-2003-01560,MAN SANG HONG,Yes,S1 & S2,"G/F, 81 ON NING RD, YUEN LONG, N.T.",No,2017-10-06
CR-2003-01562,CHEUNG HWA CHINESE MEDICINE STORE,Yes,S1 & S2,"G/F, 1010 CANTON RD, KOWLOON",No,2017-10-06
